URL,title
https://bib-pubdb1.desy.de/record/639693,The insect head rewound: Clarifications to the groundplan of Hexapoda (Pancrustacea)
https://bib-pubdb1.desy.de/record/639126,Cretaceous amber of Ecuador unveils new insights into South America’s Gondwanan forests
https://bib-pubdb1.desy.de/record/607320,Model-based autofocus for near-field phase retrieval
https://bib-pubdb1.desy.de/record/625247,New species of Lechytia Balzan, 1892 (Arachnida: Pseudoscorpiones) from Burmese amber highlights 99 million years of morphological stasis
https://bib-pubdb1.desy.de/record/625248,The Morphology of the Rare Beetle Silphopsyllus desmanae (Leiodidae), a Commensal of the Semiaquatic Russian Desman
https://bib-pubdb1.desy.de/record/624339,A myriad of melt inclusions: a 3D analysis of melt inclusions reveals the gas rich magma reservoir of Colli Albani Volcano (Italy)
https://bib-pubdb1.desy.de/record/633990,New Amber Fossils Indicate That Larvae of Dermestidae Had Longer Defensive Structures in the Past
https://bib-pubdb1.desy.de/record/636104,When opposites attract: a syninclusion of extinct mites and a bradytelic bristly millipede in Baltic amber
https://bib-pubdb1.desy.de/record/627755,Corrigendum: Revision of recluse spiders (Araneae: Sicariidae: Loxosceles) preserved in Dominican amber and a total-evidence phylogeny of Scytodoidea reveal the first fossil Drymusidae. Arthropod Systematics & Phylogeny 80: 541–559. doi: 10.3897/asp.80.e86008
https://bib-pubdb1.desy.de/record/641503,A new species of the Recent genus Amblyomma (Parasitiformes: Ixodidae) discovered in Dominican amber
https://bib-pubdb1.desy.de/record/627759,Protosiphonorhinus patrickmuelleri gen. et sp. nov., the first fossil member of the sucking millipede family Siphonorhinidae (Colobognatha, Siphonophorida) described from Cretaceous Myanmar amber
https://bib-pubdb1.desy.de/record/639446,Design and implementation of a climate chamber for moisture sensitive nanotomography of biological samples
https://bib-pubdb1.desy.de/record/632184,The effect of PTFE on the deformation behavior of PPS composites for high-pressure hydrogen applications
https://bib-pubdb1.desy.de/record/634681,A Nanoscale View of the Structure and Deformation Mechanism of Mineralized Shark Vertebral Cartilage
https://bib-pubdb1.desy.de/record/638979,The biomechanical dilemma of phasmid eggs – how do stick insects hatch?
